,0
need vaccine passport,12.897955022690695
vaccine passport start,10.758805339442414
require vaccine passport,9.015394410778118
follow nose herd,8.590687450247184
nose herd immunity,8.590687450247184
covid health pass,7.515214265351596
vaccine pass protester,7.487001354881344
snap titaniumplug whatsapp,7.292676378275355
business refuse enforce,6.803476104846803
enforce vaccine passport,6.535697854046363
refuse enforce vaccine,6.0264137675920235
vaccine passport require,5.9936597073466995
vaccine passport mandate,5.736541761328347
ask vaccine passport,5.407666178294537
clear health pass,5.256549396189672
code vaccine passport,5.242977966950573
qr code vaccine,5.242977966950573
vaccine passport end,5.212740785178042
covid vaccine passport,5.004350068095722
think vaccine passport,4.912403467365488
want vaccine passport,4.694308546345727
vaccine passport application,4.544666266436396
nhs covid pass,4.505916118969711
require covid health,4.449193783622892
shopping mall require,4.449193783622892
mall require covid,4.449193783622892
implement vaccine passport,4.292700318473367
vaccine passport requirement,4.262055541495048
vaccine passport need,4.003494614673467
like vaccine passport,3.9903146536339973
vaccine passport enter,3.921730827765205
public health covid,3.8805700005813275
health covid real,3.8805700005813275
passport cheap possible,3.8805700005813275
want hook vaccine,3.8805700005813275
infect population kill,3.8805700005813275
covid real threat,3.8805700005813275
people infect population,3.8805700005813275
hook vaccine passport,3.8805700005813275
possible care public,3.8805700005813275
population kill population,3.8805700005813275
real threat people,3.8805700005813275
population death people,3.8805700005813275
vaccine passport cheap,3.8805700005813275
kill population death,3.8805700005813275
threat people infect,3.8805700005813275
cheap possible care,3.8805700005813275
care public health,3.8805700005813275
vaccine vaccine passport,3.7732083587678646
use vaccine passport,3.5953129333478784
covid quarantine camp,3.4788685909540664
mandate vaccine passport,3.468618291955999
vaccine passport come,3.2044767290210547
vaccine passport digital,3.135931057745858
support vaccine passport,3.091476305926844
vaccine passport right,3.0521487726864356
single vote parliament,2.975232735240452
vaccine passport vaccine,2.951326316547648
fake vaccine passport,2.8696572713269095
appear single vote,2.819619316493215
domestic vaccine passport,2.701675831127194
anti vaccine passport,2.660201567748767
application health pass,2.6535584748826126
end covid quarantine,2.6233979641264864
passport end covid,2.6233979641264864
introduce vaccine passport,2.595613628171522
need covid passport,2.5405829179517543
good vaccine passport,2.531652054237017
vaccine passport want,2.4992059994953806
vaccine passport catch,2.477738640274274
idea vaccine passport,2.4754749094533985
vaccine passport protest,2.4191217705142165
racist vaccine passport,2.4154742929936903
vaccine passport law,2.4060924485294053
amp vaccine passport,2.391692793468363
mask vaccine passport,2.3044068915309657
vaccine passport place,2.3040242542923
imagine vaccine passport,2.2972625800076356
photo vaccine passport,2.270813305252582
passport negative test,2.2510027930293917
vaccine passport wo,2.2500620933350635
roll vaccine passport,2.228838304277161
people vaccine passport,2.1609603512626006
vaccine passport travel,2.121978207693107
check vaccine passport,2.1175593861878825
vaccine passport government,2.097870635760887
right vaccine passport,2.0453887394127586
vaccine passport people,2.043641311561699
vaccinate vaccine passport,2.023240013049464
vaccine passport stop,2.017324242399554
vaccine passport work,2.0101910736095636
covid vaccine pass,1.9959976677300064
vaccine passport negative,1.9895658964336964
health pass feature,1.9707260583734267
vaccination vaccine passport,1.9506845626309024
vaccine passport allow,1.9448233754173538
place vaccine passport,1.9347152154617704
vaccine passport rule,1.9277531548357256
vaccine passport money,1.924392897190428
maybe vaccine passport,1.9112858626247176
vaccine passport policy,1.8709984266827764
vaccine passport app,1.8580794322096397
start vaccine passport,1.8565941208820855
vaccine passport covid,1.8358373888192743
vaccinate covid pass,1.827059016231195
want introduce vaccine,1.8230914506942038
know vaccine passport,1.817876913159095
eat vaccine passport,1.8094572463789542
mobile application health,1.806436971003701
digital vaccine passport,1.7925707611186819
protest vaccine passport,1.7869262310184453
stand vaccine passport,1.7836538509469326
need covid pass,1.773622360719455
true extremism globalist,1.7668559801211075
health pass tyranny,1.7668559801211075
pass tyranny reveal,1.7668559801211075
reveal true extremism,1.7668559801211075
tyranny reveal true,1.7668559801211075
vaccine passport program,1.7594644660010275
herd immunity wsj,1.7456225261227232
vaccine passport plan,1.730159102859719
vaccine passport ontario,1.7198253966571606
vaccine passport scheme,1.686778288275549
vaccine passport yellow,1.683355870606058
consider fully vaccinate,1.6756776151600261
vaccine passport think,1.651842340192829
mandatory health worker,1.6404722481509504
vaccine passport flu,1.6368059021534092
vaccine passport proposal,1.6298588155527083
card vaccine passport,1.6069161252106068
government vaccine passport,1.6060423591818904
announce vaccine passport,1.6004439800988224
clear roll vaccine,1.5973265397971843
passport require mayor,1.5960393181474632
mandatory vaccine passport,1.5956132508076695
use covid pass,1.5944499860117334
new vaccine passport,1.588574012506636
want covid pass,1.5742295122096712
amp vaccine pass,1.5710109431126105
vaccine passport idea,1.5653548010114537
voter racist vaccine,1.5608659527253912
bring vaccine passport,1.560787194444601
time ask vaccine,1.5582645847164642
yes vaccine passport,1.5357723947455975
work vaccine passport,1.5338198459342696
create vaccine passport,1.519291267613282
regional vaccine passport,1.506993206312711
vaccine pass covid,1.5009737621776644
test vaccine passport,1.486727084558357
vaccine passport help,1.4804022155304888
eligible vaccine passport,1.462640844548521
eye victory covid,1.4568650772902536
victory covid vaccine,1.4568650772902536
vaccine passport check,1.4559461665926108
accept vaccine passport,1.442272012303585
need vaccine pass,1.4319402957808383
passport look like,1.4279694120606072
owner withdraw consent,1.4154742463203225
business owner withdraw,1.4154742463203225
withdraw consent supervisors,1.4154742463203225
supervisors vaccine passport,1.4154742463203225
consent supervisors vaccine,1.4154742463203225
pass vaccination policy,1.4142135623730951
health pass vaccination,1.4142135623730951
vaccine passport mean,1.405090637561957
require proof vaccination,1.3996957232244112
institute vaccine passport,1.3939323509739314
federal vaccine passport,1.3852513525148789
globalist faux centrism,1.382378271492144
extremism globalist faux,1.382378271492144
point vaccine passport,1.3799241193473264
let vaccine passport,1.3765292102304256
vaccine mandatory health,1.3657685258032677
like covid pass,1.3611726480831097
attend game wear,1.3531502239149962
participant placebo vaccine,1.345655903283078
covid zahawi matter,1.345655903283078
fully vaccinate uk,1.345655903283078
zahawi matter novavax,1.345655903283078
placebo vaccine consider,1.345655903283078
rat earn vaccine,1.345655903283078
jab lab rat,1.345655903283078
vaccine consider fully,1.345655903283078
volunteer jab lab,1.345655903283078
lab rat earn,1.345655903283078
uk amp vaccine,1.345655903283078
trial participant placebo,1.345655903283078
vaccinate uk amp,1.345655903283078
earn vaccine pass,1.345655903283078
pass covid zahawi,1.345655903283078
novavax trial participant,1.345655903283078
matter novavax trial,1.345655903283078
mean vaccine passport,1.3441621091805924
vaccine passport soon,1.333737189050332
vaccine passport watch,1.3285875472415851
wait vaccine passport,1.327776072125324
check covid pass,1.320770487937705
covid passport require,1.31981329673782
vaccine passport nonsense,1.3135101729994794
professional vaccine passport,1.3075503164286413
vaccine passport let,1.306542382214627
vaccine passport sure,1.3043809167088238
ve vaccine passport,1.2981240277938646
covid pass letter,1.2942143390510328
vaccine passport way,1.2893266552853526
probably want covid,1.287746937714553
voter racist require,1.2848458601496076
vaccine passport gym,1.2846844285386048
covid pass nhs,1.2816598042926097
covid pass proof,1.2807601549473264
wo vaccine passport,1.270523334418261
vaccine passport comply,1.269611061313451
provide vaccine passport,1.2577746245525667
ponzi scheme lockdown,1.2565652896726647
digital ponzi scheme,1.2565652896726647
passport digital ponzi,1.2565652896726647
scheme lockdown humanity,1.2565652896726647
lockdown humanity expose,1.2565652896726647
country vaccine passport,1.2563394290032932
covid pass accept,1.249824691870652
fucking vaccine passport,1.2453690785200648
large protest domestic,1.2453073806341757
protest domestic vaccine,1.2453073806341757
like covid passport,1.2431302849595642
vaccine passport human,1.2391903431123168
application covid pass,1.2319327469936914
lateral flow test,1.2263093348243435
sort vaccine passport,1.2223721114144572
vaccine passport face,1.216771916628772
passport identification enter,1.2156563523999888
covid passport identification,1.2156563523999888
protest covid passport,1.2118280463933893
vaccine passport control,1.2117023408328988
vaccine passport know,1.2078160297107519
covid pass check,1.207074687704597
vaccine passport amp,1.199299522453656
vaccine passport huge,1.198269494417353
free mobile application,1.1899211197301676
clear free mobile,1.1899211197301676
vaccine passport shit,1.1888973094248765
law vaccine passport,1.1840330857699026
oppose vaccine passport,1.1828208341827293
passport covid test,1.17237780326587
people spread virus,1.1719325300840295
vaccine passport burn,1.1715613733993
happen vaccine passport,1.1656715999814296
use health pass,1.1582809285524296
demand vaccine passport,1.1575078926529478
vaccine passport issue,1.1550050190402792
vaccine passport license,1.1516834219666845
passport license spread,1.1516834219666845
public health director,1.1501967131481945
old public health,1.1501967131481945
spike case old,1.1501967131481945
case old public,1.1501967131481945
cause spike case,1.1501967131481945
advocate vaccine passport,1.1434040650174746
country require proof,1.143289242407342
covid pass like,1.1423265978841939
vaccine passport paper,1.1412515157174363
home covid quarantine,1.1409586535977125
government drag home,1.1409586535977125
passport government drag,1.1409586535977125
drag home covid,1.1409586535977125
vaccine passport apply,1.1379216290526004
vaccine passport like,1.136623095900673
protest health pass,1.135939905353964
comply vaccine passport,1.134696162310372
covid amp pass,1.1256592787531494
pass nhs application,1.1187279513477042
vaccine passport life,1.1170422228345185
mask mandate vaccine,1.1165981395309073
burn vaccine passport,1.1151293606120187
purpose vaccine passport,1.1086685502492297
tell purpose vaccine,1.1086685502492297
vaccine passport quebec,1.1046718642503164
vaccine passport tell,1.0916925905177732
vaccine passport wait,1.090533270114944
vaccine passport look,1.0823557706496696
vaccine passport protect,1.0785054519358623
reject mandatory health,1.0705536351818439
protest reject mandatory,1.0705536351818439
mandatory health pass,1.0705536351818439
vaccine passport illegal,1.0700163020097273
proof negative test,1.0691175780189002
test covid passport,1.064300653043954
agree vaccine passport,1.0600284155212236
infect vaccinated people,1.0590501997081696
vaccine passport passport,1.0547869464657889
hey vaccine passport,1.0535109137576038
vaccine passport talk,1.0510943667292643
funny vaccine passport,1.0494372531983225
vaccine passport apartheid,1.048084553833439
vaccine passport ve,1.0476476378259914
want vaccine pass,1.0468024454851976
require good restaurant,1.0447155198127216
digital copy register,1.0447155198127216
good restaurant club,1.0447155198127216
register eligible vaccine,1.0447155198127216
vaccine card soon,1.0447155198127216
save digital copy,1.0447155198127216
copy register eligible,1.0447155198127216
card soon require,1.0447155198127216
soon require good,1.0447155198127216
health pass enter,1.044511889320279
ask covid pass,1.0436693087561477
vaccine passport mandatory,1.043395735424983
vaccine passport crap,1.0388196602966482
push vaccine passport,1.0381754412911401
vaccine passport ready,1.0354455182202513
wonder vaccine passport,1.0353094242763565
vaccine passport good,1.0337044701578324
come vaccine passport,1.0331204119420574
sa hurdle clear,1.0329955602396135
hurdle clear roll,1.0329955602396135
suddenly longer racist,1.025964443093167
photo suddenly longer,1.025964443093167
vaccine passport turn,1.0235056777880347
require vaccine pass,1.0182505738118226
vaccine passport easily,1.0159417273430071
covid passport card,1.013526185801844
vaccine passport yes,1.0130750316939716
mind vaccine passport,1.0067406634303684
proof vaccine passport,1.0052002699226064
vaccine passport mask,1.005076888464557
national vaccine passport,1.0023430347398492
yeah vaccine passport,1.0001319586993687
pass sanitaire valide,1.0
unlikely spend time,1.0
job saveamerica donotcomply,1.0
covid passport cool,1.0
accuse favour apartheid,1.0
phone pocket track,1.0
work throw problem,1.0
write legislation job,1.0
symbol lamppost actual,1.0
vaccine passport problem,1.0
covid passport work,1.0
time remain unvaccinated,1.0
paper version want,1.0
psst vaccine pass,1.0
airtravel covid covid,1.0
saveamerica donotcomply freedom,1.0
like bus pass,1.0
illegitimacy vaccine passport,1.0
protest vaccinepassport losangele,1.0
people covid passport,1.0
vaccinated unlikely spend,1.0
spend time remain,1.0
vaccine passport restaurant,1.0
nope vaccine passport,1.0
affect vaccine passport,1.0
