,index,trigram,value
0,0,,0.0
1,1,need vaccine passport,12.897955022690695
2,2,vaccine passport start,10.758805339442414
3,3,require vaccine passport,9.015394410778118
4,4,follow nose herd,8.590687450247184
5,5,nose herd immunity,8.590687450247184
6,6,covid health pass,7.515214265351597
7,7,vaccine pass protester,7.487001354881344
8,8,snap titaniumplug whatsapp,7.292676378275355
9,9,business refuse enforce,6.803476104846803
10,10,enforce vaccine passport,6.535697854046362
11,11,refuse enforce vaccine,6.026413767592024
12,12,vaccine passport require,5.9936597073467
13,13,vaccine passport mandate,5.736541761328348
14,14,ask vaccine passport,5.407666178294537
15,15,clear health pass,5.256549396189672
16,16,code vaccine passport,5.242977966950574
17,17,qr code vaccine,5.242977966950574
18,18,vaccine passport end,5.212740785178042
19,19,covid vaccine passport,5.004350068095722
20,20,think vaccine passport,4.912403467365489
21,21,want vaccine passport,4.694308546345727
22,22,vaccine passport application,4.544666266436396
23,23,nhs covid pass,4.5059161189697114
24,24,require covid health,4.449193783622891
25,25,shopping mall require,4.449193783622891
26,26,mall require covid,4.449193783622891
27,27,implement vaccine passport,4.292700318473367
28,28,vaccine passport requirement,4.262055541495048
29,29,vaccine passport need,4.003494614673467
30,30,like vaccine passport,3.990314653633997
31,31,vaccine passport enter,3.921730827765205
32,32,public health covid,3.880570000581328
33,33,health covid real,3.880570000581328
34,34,passport cheap possible,3.880570000581328
35,35,want hook vaccine,3.880570000581328
36,36,infect population kill,3.880570000581328
37,37,covid real threat,3.880570000581328
38,38,people infect population,3.880570000581328
39,39,hook vaccine passport,3.880570000581328
40,40,possible care public,3.880570000581328
41,41,population kill population,3.880570000581328
42,42,real threat people,3.880570000581328
43,43,population death people,3.880570000581328
44,44,vaccine passport cheap,3.880570000581328
45,45,kill population death,3.880570000581328
46,46,threat people infect,3.880570000581328
47,47,cheap possible care,3.880570000581328
48,48,care public health,3.880570000581328
49,49,vaccine vaccine passport,3.7732083587678646
50,50,use vaccine passport,3.5953129333478784
51,51,covid quarantine camp,3.4788685909540664
52,52,mandate vaccine passport,3.4686182919559987
53,53,vaccine passport come,3.2044767290210547
54,54,vaccine passport digital,3.1359310577458577
55,55,support vaccine passport,3.091476305926844
56,56,vaccine passport right,3.052148772686436
57,57,single vote parliament,2.9752327352404517
58,58,vaccine passport vaccine,2.9513263165476475
59,59,fake vaccine passport,2.869657271326909
60,60,appear single vote,2.819619316493215
61,61,domestic vaccine passport,2.7016758311271936
62,62,anti vaccine passport,2.660201567748767
63,63,application health pass,2.6535584748826126
64,64,end covid quarantine,2.6233979641264864
65,65,passport end covid,2.6233979641264864
66,66,introduce vaccine passport,2.595613628171522
67,67,need covid passport,2.5405829179517543
68,68,good vaccine passport,2.531652054237017
69,69,vaccine passport want,2.4992059994953806
70,70,vaccine passport catch,2.477738640274274
71,71,idea vaccine passport,2.4754749094533985
72,72,vaccine passport protest,2.4191217705142165
73,73,racist vaccine passport,2.4154742929936903
74,74,vaccine passport law,2.4060924485294053
75,75,amp vaccine passport,2.3916927934683634
76,76,mask vaccine passport,2.3044068915309657
77,77,vaccine passport place,2.3040242542922997
78,78,imagine vaccine passport,2.297262580007636
79,79,photo vaccine passport,2.2708133052525823
80,80,passport negative test,2.251002793029392
81,81,vaccine passport wo,2.2500620933350635
82,82,roll vaccine passport,2.228838304277161
83,83,people vaccine passport,2.160960351262601
84,84,vaccine passport travel,2.1219782076931066
85,85,check vaccine passport,2.1175593861878825
86,86,vaccine passport government,2.097870635760887
87,87,right vaccine passport,2.0453887394127586
88,88,vaccine passport people,2.0436413115616987
89,89,vaccinate vaccine passport,2.023240013049464
90,90,vaccine passport stop,2.017324242399554
91,91,vaccine passport work,2.010191073609564
